word,tag
"1979,",abbr
nr.,abbr
"11,",abbr
19,abbr
O,quote
altă,quote
disfuncționalitate.,quote
îi,quote
priveşte,quote
pe,quote
acționarii,quote
pentru,quote
care,quote
s-ar,quote
plăti,quote
contribuţii,quote
de,quote
sănătate,quote
din,quote
valoarea,quote
dividendelor.,quote
RL,abbr
"2006,",abbr
nr.,abbr
4,abbr
805.,abbr
—,form
Pronunţat:,form
-ţi-o-,form
—,form
PL.:,form
disfuncționalități,form
—,form
Disfuncţional,form
+,form
suf.,form
-izare,form
DISFUNDA,orth
vb.,gramGrp
I,gramGrp
vb.,MorfDef
I,MorfDef
v.,RegDef
desfunda,RegDef
DISFUNDĂTURĂ,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
desfundătură,RegDef
DISGENEZIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
(Med.),usg
Displazie.,RegDef
—,form
PL.:,form
disgenezii,form
—,form
Din,form
fr.,form
dysgânssie,form
DISGEUZIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
(Med.),usg
Alterare,RegDef
a,RegDef
simțului,RegDef
gustativ.,RegDef
—,form
PL.:,form
disgeuzii,form
—,form
Din,form
fr.,form
dysg6usie,form
DISGLOBULINEMIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
(Med.),usg
Disproteinemie.,RegDef
—,form
PL.:,form
disglobulinemii,form
—,form
Din,form
fr.,form
dysglobulinemie,form
DISGRAFIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
(Med.),usg
Tulburare,RegDef
manifestată,RegDef
prin,RegDef
dificultatea,RegDef
de,RegDef
a,RegDef
scrie,RegDef
"corect,",RegDef
caracterizată,RegDef
prin,RegDef
inversiuni,RegDef
şi,RegDef
deformări,RegDef
de,RegDef
litere,RegDef
şi,RegDef
substituiri,RegDef
de,RegDef
cuvinte.,RegDef
—,form
PL.:,form
disgrafii,form
—,form
Din,form
fr.,form
dysgraphie,form
DISGRAVIDIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
(Med.),usg
Totalitatea,RegDef
manifestărilor,RegDef
patologice,RegDef
apărute,RegDef
în,RegDef
cursul,RegDef
gravidităţii;,RegDef
gestoză.,RegDef
Disgravidiile,quote
trebuie,quote
tratate,quote
de,quote
la,quote
"început,",quote
iar,quote
femeia,quote
trebuie,quote
să,quote
respecte,quote
regimul,quote
alimentar,quote
lipsit,quote
de,quote
"sare,",quote
prescris,quote
de,quote
medic.,quote
ABC,abbr
SĂN.,abbr
319,abbr
—,form
PL.:,form
disgravidii,form
—,form
Pref.,form
dis-,form
+,form
gravidie,form
DISHIDROZĂ,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
Afecţiune,RegDef
"cutanată,",RegDef
"dureroasă,",RegDef
caracterizată,RegDef
printr-o,RegDef
erupție,RegDef
cu,RegDef
vezicule,RegDef
pe,RegDef
mâini,RegDef
şi,RegDef
pe,RegDef
picioare.,RegDef
ECLUZA,orth
vb.,gramGrp
"I,",gramGrp
intranz.,usg
vb.,MorfDef
I,MorfDef
(Despre,usg
nave),usg
A,RegDef
trece,RegDef
printr-o,RegDef
ecluză,RegDef
(1),RegDef
Tranz.,usg
Cf.,bibl
"DEX,",bibl
DNS,bibl
ECLUZARE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
Acţiunea,RegDef
de,RegDef
a,RegDef
ecluza,RegDef
(2),RegDef
şi,RegDef
rezultatul,RegDef
ei.,RegDef
—,form
PL.:,form
ecluzări,form
—,form
V.,form
ecluza,form
ECLUZĂ,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
(Învechit),RegDef
Stăvilar,RegDef
(1);,RegDef
(sens,RegDef
curent),RegDef
construcție,RegDef
hidrotehnică,RegDef
"specială,",RegDef
executată,RegDef
pe,RegDef
traseul,RegDef
unei,RegDef
căi,RegDef
"navigabile,",RegDef
care,RegDef
permite,RegDef
trecerea,RegDef
navelor,RegDef
dintr-o,RegDef
porţiune,RegDef
a,RegDef
traseului,RegDef
cu,RegDef
nivel,RegDef
de,RegDef
apă,RegDef
mai,RegDef
ridicat,RegDef
în,RegDef
altă,RegDef
porţiune,RegDef
cu,RegDef
nivel,RegDef
de,RegDef
apă,RegDef
mai,RegDef
scăzut,RegDef
şi,RegDef
invers.,RegDef
S-au,quote
închis,quote
ecluzile,quote
(stavilile).,quote
"LIICEANU,",abbr
J.,abbr
77,abbr
Unul,quote
din,quote
trei,quote
bărbați,quote
...,quote
are,quote
probleme,quote
de,quote
disfuncție,quote
"erectilă,",quote
se,quote
arată,quote
în,quote
cel,quote
mai,quote
complex,quote
studiu,quote
privind,quote
sexualitatea,quote
populației,quote
active,quote
din,quote
România.,quote
RL,quote
"2006,",quote
nr.,quote
4879.,quote
RL,bibl
"2006,",bibl
nr.,bibl
4879,bibl
Fig.,usg
Și,quote
aici,quote
apar,quote
disfuncţii.,quote
"SCÂNTEIA,",quote
"1975,",quote
nr.,quote
10,quote
347.,quote
"SCÂNTEIA,",abbr
"1975,",abbr
nr.,abbr
10,abbr
347,abbr
Anomalie,RegDef
în,RegDef
funcționarea,RegDef
unei,RegDef
structuri,RegDef
sociale,RegDef
"administrative,",RegDef
a,RegDef
unui,RegDef
proces,RegDef
etc.Cf.,RegDef
"DN%,",RegDef
DEX?.,RegDef
Este,quote
interesantă,quote
reacția,quote
pieței,quote
la,quote
aiurelile,quote
şi,quote
disfuncțiile,quote
procesului,quote
electoral.,quote
RL,abbr
"2004,",abbr
nr.,abbr
4,abbr
487,abbr
Exprimările,quote
confuze,quote
sau,quote
incomplete,quote
utilizate,quote
în,quote
textul,quote
actelor,quote
normative,quote
au,quote
creat,quote
disfuncții,quote
în,quote
privința,quote
aplicării,quote
dispozițiilor,quote
legale,quote
în,quote
domeniul,quote
culturii.,quote
RL,quote
"2005,",quote
nr.,quote
4,quote
559.,quote
RL,abbr
"2005,",abbr
nr.,abbr
4,abbr
559,abbr
(Tehn.),usg
Reducere,RegDef
a,RegDef
adaptării,RegDef
sau,RegDef
integrării,RegDef
unui,RegDef
subsistem,RegDef
la,RegDef
sistemul,RegDef
din,RegDef
care,RegDef
face,RegDef
parte.,RegDef
Cf.,RegDef
DEX?,RegDef
—,form
PL.:,form
disfuncţii,form
—,form
Din,form
germ.,form
Dysfunktion,form
—,form
Din,form
fr.,form
dysfonction,form
"ECLUZIST,",orth
-Ă,orth
s.,gramGrp
m.,gramGrp
si,gramGrp
f.,gramGrp
s.,MorfDef
m.,MorfDef
si,MorfDef
f.,MorfDef
Persoană,RegDef
care,RegDef
lucrează,RegDef
la,RegDef
ecluză;,RegDef
ecluzier,RegDef
(2).,RegDef
—,form
PL.:,form
"ecluzişti,",form
-ste,form
—,form
Ecluză,form
+,form
suf.,form
-ist,form
ECLUZIUNE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,MorfDef
ecloziune,RegDef
ECMECCI-BAȘA,orth
s.,gramGrp
m.,gramGrp
s.,MorfDef
m.,MorfDef
(Turcism),RegDef
Şeful,RegDef
slujitorilor,RegDef
de,RegDef
la,RegDef
cuptoarele,RegDef
domneşti.,RegDef
Erau,RegDef
puşi,RegDef
sub,RegDef
ordinul,RegDef
ispravnicilor,RegDef
de,RegDef
curte,RegDef
şi,RegDef
al,RegDef
lui,RegDef
ecmecci-başa.,RegDef
—,form
Din,form
tc.,form
ekmekçi,form
başy,form
ECMNEZIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
Formă,RegDef
de,RegDef
"amnezie,",RegDef
care,RegDef
constă,RegDef
în,RegDef
pierderea,RegDef
amintirii,RegDef
evenimentelor,RegDef
recente,RegDef
şi,RegDef
tr?,RegDef
jea,RegDef
în,RegDef
prezent,RegDef
a,RegDef
unor,RegDef
evenimente,RegDef
dintr-o,RegDef
perioadă,RegDef
de,RegDef
viaţă,RegDef
îndepărtată,RegDef
în,RegDef
timp.,RegDef
—,form
Din,form
fr.,form
ecmnésie,form
ECO,orth
s.,gramGrp
n.,gramGrp
"şi,",gramGrp
"rar,",gramGrp
f.,gramGrp
s.,MorfDef
n.,MorfDef
"şi,",MorfDef
"rar,",MorfDef
f.,MorfDef
v.,RegDef
ecou,RegDef
ECOANSON,orth
s.,gramGrp
n.,gramGrp
s.,MorfDef
n.,MorfDef
(Arhit.),usg
Ornament,RegDef
triunghiular,RegDef
cuprins,RegDef
"
					între",RegDef
două,RegDef
arcade,RegDef
"tangente,",RegDef
legate,RegDef
la,RegDef
înălțime,RegDef
de,RegDef
"
					un",RegDef
brâu,RegDef
orizontal:,RegDef
piatră,RegDef
care,RegDef
formează,RegDef
colțul,RegDef
"
					ambrazurii",RegDef
unei,RegDef
ferestre,RegDef
sau,RegDef
a,RegDef
unei,RegDef
uşi.,RegDef
—,form
Pronunţat:,form
-co-an-,form
—,form
PL.:,form
ecoansoane,form
—,form
Din,form
fr.,form
ecmnésie,form
ECOCARDIOGRAF,orth
s.,gramGrp
n.,gramGrp
s.,MorfDef
n.,MorfDef
(Med.),usg
Aparat,RegDef
folosit,RegDef
pentru,RegDef
examinarea,RegDef
inimii,RegDef
cu,RegDef
ultrasunete.,RegDef
—,form
Pronunţat:,form
-di-o-,form
—,form
PL.:?,form
—,form
Din,form
,form
engl.,form
echocardiograph,form
ECOCARDIOGRAFIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
(Med.),usg
Aplicare,RegDef
a,RegDef
ecogratiei,RegDef
la,RegDef
examinarea,RegDef
şi,RegDef
diagnosticarea,RegDef
bolilor,RegDef
inimii.,RegDef
—,form
Pronunţat:,form
-di-o-,form
—,form
PL.:,form
ecocardiografii,form
—,form
Din,form
fr.,form
echocardiographie,form
—,form
Din,form
,form
engl.,form
echocardiography,form
ECOCARDIOGRAMĂ,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
(Med.),usg
Ecogramă,RegDef
a,RegDef
inimii.,RegDef
—,form
Pronunţat:,form
-di-o-,form
—,form
PL.:,form
ecocardiograme,form
—,form
Din,form
fr.,form
echocardiogramme,form
—,form
Din,form
,form
engl.,form
echocardiogram,form
ECOCINEMATOGRAFIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
Cinematografie,RegDef
care,RegDef
produce,RegDef
filme,RegDef
cu,RegDef
subiect,RegDef
ecologic.,RegDef
—,form
PL.:,form
ecocinematograţii,form
—,form
Din,form
engl.,form
eco-cinematography,form
ECOENCEFALOGRAFIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
(Med.),usg
Metodă,RegDef
de,RegDef
diagnosticare,RegDef
a,RegDef
proceselor,RegDef
patologice,RegDef
intracraniene,RegDef
cu,RegDef
ajutorul,RegDef
ultrasunetelor.,RegDef
—,form
PL.:,form
ecoencefalografii,form
—,form
Din,form
engl.,form
echoencephalography,form
ECOENCEFALOGRÂMĂ,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
(Med.),usg
Înregistrare,RegDef
a,RegDef
unui,RegDef
proces,RegDef
patologic,RegDef
"intracranian,",RegDef
obținută,RegDef
prin,RegDef
ecoencefalogratie.,RegDef
—,form
PL.:,form
ecoencefalograme,form
—,form
Din,form
engl.,form
echoencephalogram,form
ECOFEEDBACK,orth
s.,gramGrp
n.,gramGrp
s.,MorfDef
n.,MorfDef
(Biol.),usg
Retroacţiune,RegDef
ecologică,RegDef
având,RegDef
rolul,RegDef
de,RegDef
a,RegDef
menţine,RegDef
stabilitatea,RegDef
ecosistemelor,RegDef
naturale,RegDef
faţă,RegDef
de,RegDef
diversele,RegDef
influenţe,RegDef
din,RegDef
mediul,RegDef
ambiant.,RegDef
—,form
Pronunţat:,form
-/idbec,form
—,form
Din,form
engl.,form
ecofeedback,form
ECOFILM,orth
s.,gramGrp
n.,gramGrp
s.,MorfDef
n.,MorfDef
Film,RegDef
cu,RegDef
subiect,RegDef
ecologic.,RegDef
—,form
PL.:,form
ecofilme,form
—,form
Din,form
engl.,form
ecofilm,form
"ECOFIZIOLOGIC,",orth
-Ă,orth
adj.,gramGrp
adj.,MorfDef
Care,RegDef
aparține,RegDef
"ecofiziologiei,",RegDef
referitor,RegDef
la,RegDef
ecofiziologie.,RegDef
—,form
Pronunţat:,form
-zi-o,form
—,form
PL.:,form
"ecofiziologici,",form
-ce,form
—,form
Din,form
engl.,form
ecophysiological.,form
ECOFIZIOLOGIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
Ramură,RegDef
a,RegDef
ecologiei,RegDef
care,RegDef
studiază,RegDef
din,RegDef
punct,RegDef
de,RegDef
vedere,RegDef
fiziologic,RegDef
grupe,RegDef
de,RegDef
organisme,RegDef
în,RegDef
corelaţie,RegDef
cu,RegDef
mediul,RegDef
lor,RegDef
natural.,RegDef
ECVID,orth
s.,gramGrp
n.,gramGrp
s.,MorfDef
n.,MorfDef
v.,RegDef
ecvideu,RegDef
ECVIDEU,orth
s.,gramGrp
n.,gramGrp
s.,MorfDef
n.,MorfDef
(La,RegDef
pl.),RegDef
Familie,RegDef
de,RegDef
mamifere,RegDef
"imparicopitate,",RegDef
care,RegDef
cuprinde,RegDef
animale,RegDef
"erbivore,",RegDef
"nerumegătoare,",RegDef
"unicopitate,",RegDef
fără,RegDef
vezică,RegDef
biliară;,RegDef
(Şi,RegDef
la,RegDef
sg.),RegDef
animal,RegDef
care,RegDef
face,RegDef
parte,RegDef
din,RegDef
această,RegDef
familie.,RegDef
Din,RegDef
ecvidee,RegDef
fac,RegDef
parte,RegDef
"calul,",RegDef
"măgarul,",RegDef
zebra.,RegDef
"DER,",RegDef
cf.,RegDef
M.,RegDef
D.,RegDef
"ENC.,",RegDef
"DEX,",RegDef
"DN,",RegDef
D.,RegDef
"ENC.,",RegDef
NDN.,RegDef
—,form
PL.:,form
ecvidee,form
—,form
Şi:,form
ecvid,form
(pl.,form
ecvide),form
s.,form
n.,form
M.D.,form
"ENC.,",form
"DN3,",form
D.,form
"ENC.,",form
NDN,form
—,form
Din,form
engl.,form
équidés,form
ECVIDIFERENȚĂ,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
echidiferență,RegDef
ECVILATER,orth
s.,gramGrp
n.,gramGrp
s.,MorfDef
n.,MorfDef
v.,RegDef
echilater,RegDef
"ECVILATERAL,",orth
-Ă,orth
adj.,gramGrp
adj.,MorfDef
v.,RegDef
echilateral,RegDef
"ECVILIBRAL,",orth
-Ă,orth
adj.,gramGrp
adj.,MorfDef
v.,RegDef
echilibral,RegDef
ECVILIBRIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
echilibru,RegDef
"ECVILIBRIST,",orth
-Ă,orth
s.f.,gramGrp
şi,gramGrp
f.,gramGrp
s.f.,MorfDef
şi,MorfDef
f.,MorfDef
v.,RegDef
echilibrist,RegDef
ECVILIBRIU,orth
s.,gramGrp
n.,gramGrp
s.,MorfDef
n.,MorfDef
v.,RegDef
echilibru,RegDef
ECVILIBRU,orth
s.,gramGrp
n.,gramGrp
s.,MorfDef
n.,MorfDef
v.,RegDef
echilibru,RegDef
ECVINISM,orth
s.,gramGrp
n.,gramGrp
s.,MorfDef
n.,MorfDef
v.,RegDef
echinism,RegDef
"ECVINOCȚIAL,",orth
-Ă,orth
adj.,gramGrp
adj.,MorfDef
v.,RegDef
echinocţial,RegDef
ECVINOCȚIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
echinocţiu,RegDef
ECVINOPŢ,orth
s.,gramGrp
n.,gramGrp
s.,MorfDef
n.,MorfDef
v.,RegDef
echinocţiu,RegDef
"ECVINOPȚIAL,",orth
-Ă,orth
adj.,gramGrp
adj.,MorfDef
v.,RegDef
echinocţial,RegDef
ECVINOPȚIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
echinocţiu,RegDef
"ECVINOXIAL,",orth
-Ă,orth
adj.,gramGrp
adj.,MorfDef
v.,RegDef
echinocţial,RegDef
ECVINOXIU,orth
s.,gramGrp
n.,gramGrp
s.,MorfDef
n.,MorfDef
v.,RegDef
echinocţiu,RegDef
ECVIPAJ,orth
s.,gramGrp
n.,gramGrp
s.,MorfDef
n.,MorfDef
v.,RegDef
echipaj,RegDef
ECVIPAGE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
echipaj,RegDef
ECVIPAJĂ,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
echipaj,RegDef
ECVIPAJIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
echipaj,RegDef
ECVISETACEE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
(La,RegDef
pl.),RegDef
Familie,RegDef
de,RegDef
plante,RegDef
erbacee,RegDef
criptogame,RegDef
"vasculare,",RegDef
cu,RegDef
un,RegDef
singur,RegDef
gen,RegDef
în,RegDef
flora,RegDef
"actuală,",RegDef
cu,RegDef
frunzele,RegDef
foarte,RegDef
"mici,",RegDef
"solzoase,",RegDef
concrescute,RegDef
într-o,RegDef
teacă,RegDef
în,RegDef
jurul,RegDef
"nodurilor,",RegDef
care,RegDef
se,RegDef
înmulțesc,RegDef
prin,RegDef
spori,RegDef
(Equisetum);,RegDef
(Şi,RegDef
la,RegDef
sg.),RegDef
plantă,RegDef
care,RegDef
face,RegDef
parte,RegDef
din,RegDef
această,RegDef
familie.,RegDef
Plantele,quote
din,quote
familia,quote
ecvisetacee,quote
au,quote
epiderma,quote
tulpinii,quote
impregnată,quote
cu,quote
siliciu.,quote
DER,abbr
—,form
Scris,form
şi:,form
equisetacee.,form
DN?,form
—,form
Şi:,form
ecvizetacee,form
s.,form
f.,form
"DER,",form
M.,form
D.,form
ENC,form
—,form
Din,form
engl.,form
équisétacées,form
ECVITATE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
echitate,RegDef
ECVITAȚIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
echitație,RegDef
ECVIVALA,orth
vb.,gramGrp
I,gramGrp
vb.,MorfDef
I,MorfDef
v.,RegDef
echivala,RegDef
"ECVIVALENT,",orth
-Ă,orth
"adj.,",gramGrp
s.,gramGrp
n.,gramGrp
"adj.,",MorfDef
s.n.,MorfDef
v.,RegDef
echivalent,RegDef
"ECVIVOC,",orth
-Ă,orth
"adj.,",gramGrp
s.,gramGrp
n.,gramGrp
"adj.,",MorfDef
s.n.,MorfDef
v.,RegDef
echivoc,RegDef
ECVIZETACEE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
ecvisetacee,RegDef
"ECZACT,",orth
-Ă,orth
adj.,gramGrp
adj.,MorfDef
v.,RegDef
exact,RegDef
ECZACTEŢĂ,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
exacteță,RegDef
ECZACTITATE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
exactitate,RegDef
ECZALTARE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
exaltare,RegDef
ECZALTAȚIE,orth
s.,gramGrp
f.,gramGrp
s.,MorfDef
f.,MorfDef
v.,RegDef
exaltaţie,RegDef
ECZAMEN,orth
s.,gramGrp
n.,gramGrp
s.,MorfDef
n.,MorfDef
v.,RegDef
examen,RegDef
ECZAMINA,orth
vb.,gramGrp
I,gramGrp
vb.,MorfDef
I,MorfDef
v.,RegDef
examina,RegDef
ECZAMPLAR,orth
s.,gramGrp
n.,gramGrp
s.,MorfDef
n.,MorfDef
v.,RegDef
exemplar,RegDef
ECZARH,orth
s.,gramGrp
m.,gramGrp
s.,MorfDef
m.,MorfDef
v.,RegDef
exarh,RegDef
